symbol,date,open,high,low,close,volume,adjfactor
510300,2024-02-19,3.286,3.304,3.267,3.301,14861876,1.0
510300,2024-02-20,3.295,3.317,3.284,3.313,9801668,1.0
510300,2024-02-21,3.3,3.408,3.294,3.361,16009581,1.0
510300,2024-02-22,3.359,3.389,3.353,3.387,9446351,1.0
510300,2024-02-23,3.387,3.409,3.376,3.39,10908774,1.0
510300,2024-02-26,3.388,3.394,3.349,3.355,11172368,1.0
510300,2024-02-27,3.347,3.398,3.345,3.396,10468849,1.0
510300,2024-02-28,3.399,3.426,3.358,3.36,28549979,1.0
510300,2024-02-29,3.352,3.419,3.349,3.415,14835850,1.0
510300,2024-03-01,3.413,3.452,3.407,3.442,12256393,1.0
510300,2024-03-04,3.438,3.449,3.42,3.439,10146550,1.0
510300,2024-03-05,3.427,3.478,3.42,3.468,27991019,1.0
510300,2024-03-06,3.463,3.484,3.45,3.454,12995274,1.0
510300,2024-03-07,3.453,3.472,3.427,3.435,10589480,1.0
510300,2024-03-08,3.437,3.452,3.416,3.445,8621877,1.0
510300,2024-03-11,3.443,3.496,3.442,3.493,11207615,1.0
510300,2024-03-12,3.495,3.511,3.48,3.498,11058396,1.0
510300,2024-03-13,3.497,3.497,3.467,3.477,6858706,1.0
510300,2024-03-14,3.472,3.499,3.447,3.464,7018811,1.0
510300,2024-03-15,3.454,3.478,3.434,3.473,8490238,1.0
510300,2024-03-18,3.473,3.505,3.473,3.504,7873329,1.0
510300,2024-03-19,3.498,3.512,3.477,3.481,6548752,1.0
510300,2024-03-20,3.473,3.494,3.47,3.484,5379620,1.0
510300,2024-03-21,3.492,3.506,3.477,3.482,6197332,1.0
510300,2024-03-22,3.479,3.48,3.424,3.451,14506378,1.0
510300,2024-03-25,3.442,3.467,3.429,3.432,6305427,1.0
510300,2024-03-26,3.432,3.45,3.424,3.443,8791033,1.0
510300,2024-03-27,3.438,3.444,3.404,3.405,8746475,1.0
510300,2024-03-28,3.403,3.456,3.393,3.422,10319251,1.0
510300,2024-03-29,3.419,3.442,3.417,3.438,6511959,1.0
510300,2024-04-01,3.452,3.506,3.451,3.496,10932625,1.0
510300,2024-04-02,3.495,3.499,3.473,3.484,5831914,1.0
510300,2024-04-03,3.482,3.484,3.46,3.47,5983464,1.0
510300,2024-04-08,3.462,3.468,3.436,3.441,7099487,1.0
510300,2024-04-09,3.439,3.446,3.424,3.435,5345371,1.0
510300,2024-04-10,3.436,3.436,3.392,3.409,6816711,1.0
510300,2024-04-11,3.393,3.425,3.387,3.406,5391159,1.0
510300,2024-04-12,3.406,3.417,3.369,3.378,7405129,1.0
510300,2024-04-15,3.378,3.457,3.376,3.451,10999537,1.0
510300,2024-04-16,3.436,3.447,3.403,3.419,9132298,1.0
510300,2024-04-17,3.419,3.469,3.403,3.465,9964664,1.0
510300,2024-04-18,3.456,3.506,3.453,3.471,9302193,1.0
510300,2024-04-19,3.457,3.466,3.43,3.443,6442757,1.0
510300,2024-04-22,3.442,3.464,3.43,3.436,7251824,1.0
510300,2024-04-23,3.436,3.442,3.405,3.411,9428474,1.0
510300,2024-04-24,3.417,3.429,3.401,3.425,5942319,1.0
510300,2024-04-25,3.415,3.449,3.407,3.435,6647552,1.0
510300,2024-04-26,3.436,3.493,3.436,3.485,13743140,1.0
510300,2024-04-29,3.489,3.55,3.484,3.528,15303224,1.0
510300,2024-04-30,3.527,3.536,3.508,3.51,8231090,1.0
510300,2024-05-06,3.552,3.576,3.547,3.56,13090611,1.0
510300,2024-05-07,3.557,3.568,3.549,3.562,6860184,1.0
510300,2024-05-08,3.555,3.556,3.53,3.533,6387759,1.0
510300,2024-05-09,3.532,3.574,3.531,3.568,6502023,1.0
510300,2024-05-10,3.575,3.582,3.543,3.57,8650954,1.0
510300,2024-05-13,3.549,3.578,3.531,3.567,7411594,1.0
510300,2024-05-14,3.567,3.582,3.55,3.561,5876668,1.0
510300,2024-05-15,3.559,3.563,3.529,3.535,8559463,1.0
510300,2024-05-16,3.542,3.563,3.533,3.547,10511975,1.0
510300,2024-05-17,3.547,3.591,3.535,3.588,9320469,1.0
510300,2024-05-20,3.594,3.612,3.582,3.596,9365359,1.0
510300,2024-05-21,3.591,3.595,3.572,3.584,4969839,1.0
510300,2024-05-22,3.582,3.601,3.575,3.592,6766846,1.0
510300,2024-05-23,3.583,3.586,3.543,3.555,6988061,1.0
510300,2024-05-24,3.544,3.562,3.51,3.514,8412742,1.0
510300,2024-05-27,3.517,3.546,3.513,3.544,6696225,1.0
510300,2024-05-28,3.543,3.545,3.514,3.521,5317532,1.0
510300,2024-05-29,3.52,3.545,3.513,3.522,6152451,1.0
510300,2024-05-30,3.515,3.537,3.5,3.508,7779253,1.0
510300,2024-05-31,3.514,3.528,3.492,3.494,7232183,1.0
510300,2024-06-03,3.492,3.511,3.477,3.499,7075116,1.0
510300,2024-06-04,3.497,3.536,3.491,3.524,6817379,1.0
510300,2024-06-05,3.525,3.534,3.509,3.511,5839394,1.0
510300,2024-06-06,3.518,3.542,3.497,3.511,10266993,1.0
510300,2024-06-07,3.514,3.522,3.467,3.488,10281271,1.0
510300,2024-06-11,3.479,3.481,3.445,3.463,8799170,1.0
510300,2024-06-12,3.456,3.468,3.448,3.459,5698353,1.0
