date,symbol,ret_1d_pct,vol_20d_pct,rsi_14
2024-02-19,515110,,,
2024-02-20,515110,0.5172,,
2024-02-21,515110,0.0858,,
2024-02-22,515110,1.1997,,
2024-02-23,515110,-0.0847,,
2024-02-26,515110,-0.4237,,
2024-02-27,515110,1.8723,,
2024-02-28,515110,-1.3367,,
2024-02-29,515110,2.0322,,
2024-03-01,515110,0.9129,,
2024-03-04,515110,0.6579,,
2024-03-05,515110,0.6536,,
2024-03-06,515110,-0.0812,,
2024-03-07,515110,-0.4062,,
2024-03-08,515110,1.2235,,79.56
2024-03-11,515110,0.1612,,78.95
2024-03-12,515110,-0.885,,72.73
2024-03-13,515110,-0.1623,,68.7
2024-03-14,515110,0.1626,,69.7
2024-03-15,515110,0.6494,,74.07
2024-03-18,515110,1.129,13.6947,72.44
2024-03-19,515110,-0.638,14.1626,77.31
2024-03-20,515110,-0.0803,14.2137,70.83
2024-03-21,515110,-0.4819,14.0985,62.64
2024-03-22,515110,-1.2107,14.9851,50.0
2024-03-25,515110,-0.4085,14.9769,43.16
2024-03-26,515110,0.2461,13.6007,45.36
2024-03-27,515110,-0.982,13.1523,42.31
2024-03-28,515110,0.9917,11.5748,40.59
2024-03-29,515110,1.8003,12.7938,50.41
2024-04-01,515110,1.1254,13.1584,60.48
2024-04-02,515110,-0.318,13.1076,59.52
2024-04-03,515110,0.3987,13.1343,60.47
2024-04-08,515110,-0.3177,13.0913,56.0
2024-04-09,515110,-0.1594,12.4501,49.56
2024-04-10,515110,-0.5587,12.6266,50.0
2024-04-11,515110,0.7223,12.394,54.17
2024-04-12,515110,0.0797,12.3569,57.39
2024-04-15,515110,2.3885,14.7776,73.85
2024-04-16,515110,-1.633,16.0606,65.75
2024-04-17,515110,2.2925,17.5104,70.93
2024-04-18,515110,-0.3091,17.3491,74.39
2024-04-19,515110,-0.2326,17.3877,70.97
2024-04-22,515110,-1.4763,18.2217,57.89
2024-04-23,515110,-1.4984,18.5269,47.13
2024-04-24,515110,1.0408,18.7049,52.41
2024-04-25,515110,-0.317,18.7851,49.7
2024-04-26,515110,1.6693,19.0185,56.59
2024-04-29,515110,0.6255,18.8818,59.04
2024-04-30,515110,0.0,18.0027,61.33
2024-05-06,515110,0.9324,17.8803,61.96
2024-05-07,515110,-0.3849,17.906,60.11
2024-05-08,515110,-1.0819,18.4118,48.26
